from_id,from_name,message,created_time,type,link,id,likes_count,comments_count,shares_count,post_number
253898394637965,Luciana Echevarría,"Hoy en la legislatura el PJ y la UCR votaron contra los derechos de todos los trabajadores. Lo único que les interesa a estos partidos es defender la ganancia empresaria. 

Desde el MST en Izquierda al Frente tenemos un modelo opuesto: Estatizar los servicios como el transporte, bajo control de los trabajadores y usuarios, que somos los únicos realmente preocupados porque funcionen.",2017-06-14T22:39:21+0000,link,http://bit.ly/2sceHni,253898394637965_1803561113005011,27,1,21,1803561113005011
253898394637965,Luciana Echevarría,"#Confirmado NOS GOBIERNA ERSA.
Después de 9 días de paro, Mestre demostró que no le importan ni los choferes ni los vecinos. Sólo asegurar la ganancia de ERSA y el resto de las empresas. 
Para dejar de ser rehenes de estas empresas y su sed de ganancia, hay que estatizar el transporte bajo control social. Sólo así dejaremos de tener este servicio malo y caro.",2017-06-13T17:25:09+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1802110546483401/?type=3,253898394637965_1802110546483401,143,10,139,1802110546483401
253898394637965,Luciana Echevarría,"INCREÍBLE. 
Tras 8 días de conflicto se llega a un acuerdo y ahora Mestre y la FETAP lo desconocen.
¡Claro que somos rehenes! Pero del gobierno y las empresas.
La única solución es la estatización con control social.",2017-06-13T05:16:14+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1801541819873607/?type=3,253898394637965_1801541819873607,91,10,145,1801541819873607
253898394637965,Luciana Echevarría,"Feliz día del periodista para las y los que ponen el cuerpo todos los días para hacer su trabajo, para defender sus puestos y para pelear por hacerlo en condiciones laborales dignas.",2017-06-07T16:30:24+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1795296570498132/?type=3,253898394637965_1795296570498132,35,0,18,1795296570498132
253898394637965,Luciana Echevarría,"Que la cultura popular no sea la cultura de la violación.
Repudio fuertemente los dichos de La Mona por misóginos y machistas. Afortunadamente somos cada vez más los que peleamos por una sociedad diferente, que no reconozca en la violencia machista la forma legítima de relacionarse y que construya las relaciones humanas sobre nuevas bases.
Una sociedad feminista! 
#NiUnaMenos #VivasYLibresNosQueremos",2017-06-06T17:12:07+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1793957957298660/?type=3,253898394637965_1793957957298660,108,11,68,1793957957298660
253898394637965,Luciana Echevarría,"Si matan el bosque, nos roban la vida. No a la Ley de Bosques de Schiaretti, vamos por la Emergencia Ambiental!
#DiaMundialDelMedioAmbiente",2017-06-05T20:19:24+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1792821510745638/?type=3,253898394637965_1792821510745638,42,0,40,1792821510745638
253898394637965,Luciana Echevarría,"Ayer fuimos miles, pero no estábamos todas. Faltaban las que la violencia machista nos arrebató. Por ellas y por nosotras volvimos a las calles, para exigir:
*Presupuesto de emergencia contra la violencia de género
*Basta de Justicia Machista
*Separación de la Iglesia del Estado
*Aborto legal, seguro y gratuito
*Libertad para Higui 
#NiUnaMenos #VivasNosQueremos. Una vez más por nuestros derechos y la igualdad #LasMujeresAlFrente",2017-06-04T15:10:17+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1791177424243380/?type=3,253898394637965_1791179784243144,74,2,39,1791179784243144
253898394637965,Luciana Echevarría,Avanza la columna de Juntas y a la Izquierda y el MST #NiUnaMenos,2017-06-03T21:41:26+0000,video,https://www.facebook.com/253898394637965/videos/1790255121002277/,253898394637965_1790255121002277,50,1,16,1790255121002277
253898394637965,Luciana Echevarría,"¡Gran columna del MST y Juntas y a la Izquierda en este nuevo 3J! 
¡Ni una menos! 
¡Vivas y libres nos queremos!",2017-06-03T21:31:49+0000,video,https://www.facebook.com/253898394637965/videos/1790243104336812/,253898394637965_1790243104336812,50,1,35,1790243104336812
253898394637965,Luciana Echevarría,"Marchamos por las que nos faltan, porque la violencia machista no para y los gobiernos no hacen nada. Porque queremos libertad para decidir sobre nuestros propios cuerpos. Porque exigimos la separación de la iglesia del Estado y Libertad inmediata para Higui.
#NiUnaMenos #VivasNosQueremos",2017-06-03T21:16:28+0000,photo,https://www.facebook.com/253898394637965/photos/a.602684436426024.1073741828.253898394637965/1790226901005099/?type=3,253898394637965_1790227141005075,47,0,26,1790227141005075
253898394637965,Luciana Echevarría,Arranca la marcha por #NiUnaMenos,2017-06-03T20:42:47+0000,video,https://www.facebook.com/253898394637965/videos/1790195437674912/,253898394637965_1790195437674912,33,1,11,1790195437674912
253898394637965,Luciana Echevarría,"Según los últimos indicadores de violencia de género, Córdoba es la capital nacional del machismo. Para terminar con este triste récord y gozar de una vida libre de violencias, mañana salimos a las calles por todos nuestros derechos #NiUnaMenos

A las 17hs sumate a la marcha desde Colón y Cañada y gritemos juntas #VivasNosQueremos! Te espero",2017-06-02T21:03:28+0000,link,http://gph.is/2qIP501,253898394637965_1788974481130341,36,3,33,1788974481130341
253898394637965,Luciana Echevarría,"Cuánta bronca da lamentar un nuevo femicidio en Córdoba, nuevamente la inacción policial y judicial y la falta de políticas activas para erradicar la violencia machista, nos arrebatan la vida de una mujer.

Mañana por Ana y por todas las que nos faltan salgamos a las calles a gritar bien fuerte #NiUnaMenos y exigir la declaración urgente de la Emergencia en Violencia de Género #VivasNosQueremos!",2017-06-02T19:22:58+0000,photo,https://www.facebook.com/JuntasYaLaIzquierdaCba/photos/a.296387867130046.54973.296374493798050/1135403283228496/?type=3,253898394637965_1788862101141579,32,1,0,1788862101141579
253898394637965,Luciana Echevarría,"Los indices de violencia machista ubican a nuestra provincia superando todas las tasas nacionales. Somos la capital nacional del machismo y los responsables se encuentran en la Justicia, la legislatura y el gobierno, que siguen sin tomar las medidas que reclamamos, porque nuestras vidas no les importan.
Hoy junto a Maru Acosta y Juntas y a la Izquierda intervinimos artísticamente los tres poderes para decir Basta de violencia machista! El sábado seamos miles en las calles gritando bien fuerte #NiUnaMenos #VivasNosQueremos!",2017-06-01T23:11:52+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1787808394580283/?type=3,253898394637965_1787811344579988,44,1,15,1787811344579988
253898394637965,Luciana Echevarría,NA,2017-06-01T19:13:37+0000,video,https://www.facebook.com/253898394637965/videos/1787629084598214/,253898394637965_1787629084598214,68,3,23,1787629084598214
253898394637965,Luciana Echevarría,"Hoy participé del Debate sobre Ley de Bosques organizado por la Facu de Psico en la UNC. Una experiencia muy interesante para fomentar el espíritu crítico y profundizar el conocimiento sobre una temática tan importante para nuestra provincia. 
Muchas gracias a lxs estudiantes y profes por la invitación. Con sólo el 3% del Bosque nativo en pie y una política constante del PJ para devastar nuestros recursos es fundamental el rechazo a la Ley de Bosques y la puesta en marcha de políticas activas para defender nuestro ambiente.",2017-05-31T20:02:08+0000,photo,https://www.facebook.com/253898394637965/photos/a.602684436426024.1073741828.253898394637965/1786394654721657/?type=3,253898394637965_1786395001388289,77,0,19,1786395001388289
253898394637965,Luciana Echevarría,"#VivasNosQueremos #LeyDeEmergenciaYA

Hace dos años acompañé a familiares de víctimas de femicidios de la Provincia de Córdoba en el reclamo de declaración de la Emergencia en violencia de género en todo el territorio provincial. Unión por Córdoba argumenta que no es necesario mientras admiten atender más de 150 casos por día, y contamos con la triste cifra de 5 femicidios durante el 2017.
A menos de una semana de una nueva movilización por #NiUnaMenos ésto no es más que una provocación del gobierno que nos deja en claro una cosa: nuestras vidas no les importan. 
El #3J seremos miles en las calles lxs que exijamos un presupuesto de emergencia para hacerle frente a este flagelo que nos arranca una mujer cada 18 hs.",2017-05-26T19:54:53+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1780375435323579/?type=3,253898394637965_1780375435323579,34,0,19,1780375435323579
253898394637965,Luciana Echevarría,"Ayer participé de Conversaciones en el Comedor Universitario en el programa #BDC de Canal 10 - Córdoba ¡Gracias Martín Notarfrancesco por la invitación!
Les comparto los videos:",2017-05-24T14:54:54+0000,video,https://www.facebook.com/Canal.10.SRT/videos/1790879554285649/,253898394637965_1777702842257505,45,3,0,1777702842257505
253898394637965,Luciana Echevarría,"Hoy a las Plazas, Parques y esquinas de Córdoba llegaron las propuestas de Izquierda al Frente para el Congreso. Primero los de abajo, no los ricos y corruptos!",2017-05-20T21:32:49+0000,photo,https://www.facebook.com/253898394637965/photos/a.602684436426024.1073741828.253898394637965/1773564679337988/?type=3,253898394637965_1773564889337967,75,2,23,1773564889337967
253898394637965,Luciana Echevarría,"Con la emoción apretando en el pecho y la llama de la memoria encendida, ¡ayer miles copamos las calles contra la impunidad y celebramos un nuevo triunfo popular! Logramos derrotar el 2x1 a los genocidas y seguiremos hasta terminar con la represión y el ajuste de Macri y los gobernadores.",2017-05-11T13:27:19+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1762526917108431/?type=3,253898394637965_1762530547108068,74,2,30,1762530547108068
253898394637965,Luciana Echevarría,"Nos estamos preparando con todo para salir a la calle a encender la llama de la memoria. Por nuestrxs 30 mil compañerxs desaparecidxs, contra el ajuste y la represión de hoy... no olvidamos, no perdonamos, no nos reconciliamos. Marchamos contra el #2x1aLosGenocidas! Te esperamos a las 18hs en el Patio Olmos",2017-05-10T19:57:40+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1761710067190116/?type=3,253898394637965_1761710067190116,50,1,7,1761710067190116
253898394637965,Luciana Echevarría,"Mañana nos movilizaremos contra el 2x1 de Macri. 
Nuestro pueblo tiene memoria y no olvida, no perdona y no se reconcilia con los genocidas.
Nos juntamos a las 18 hs en el Patio Olmos. ¡Acompañanos!",2017-05-09T19:13:44+0000,video,https://www.facebook.com/253898394637965/videos/1760448930649563/,253898394637965_1760448930649563,47,5,48,1760448930649563
253898394637965,Luciana Echevarría,#BuenSábado  comparto un resumen de mi discurso en el acto de Izquierda al Frente por el día de las trabajadoras y los trabajadores. Seguimos contruyendo una alternativa de lxs de abajo para enfrentar el ajuste de Macri.,2017-05-07T00:45:48+0000,video,https://www.facebook.com/253898394637965/videos/1757428954284894/,253898394637965_1757428954284894,46,7,35,1757428954284894
253898394637965,Luciana Echevarría,"La Corte, la Iglesia y Macri trabajan para los genocidas. 
La domiciliaria para Etchecolatz y el 2x1 al torturador Luis Muiña, son funcionales al giro represivo del gobierno. 
La respuesta a esta vergüenza no se hará esperar. 
Una vez más decimos bien fuerte: No olvidamos, no perdonamos y no nos reconciliamos. #NuncaMás",2017-05-04T17:22:43+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1754498427911280/?type=3,253898394637965_1754498427911280,66,9,134,1754498427911280
253898394637965,Luciana Echevarría,"#LaNuevaMañanaenpapel 
Hoy La Nueva Mañana salió a la calle en papel. Gran triunfo de los trabajadores y trabajadoras que recuperaron su fuente de trabajo y un nuevo medio para todxs lxs cordobeses",2017-05-02T18:51:10+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1752001298160993/?type=3,253898394637965_1752001298160993,142,2,27,1752001298160993
253898394637965,Luciana Echevarría,"#1deMayo #DíaDeLxsTrabajadorxs 
Feliz día a todxs lxs trabajadorxs, a todxs lxs que día a día movemos este mundo, a lxs que luchamos por nuestros derechos contra el ajuste de los gobiernos y por poner en pie una sociedad sin explotación ni opresión. ¡Viva la lucha de lxs trabajadorxs!",2017-05-01T20:09:44+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1750564311638025/?type=3,253898394637965_1750564311638025,27,0,5,1750564311638025
253898394637965,Luciana Echevarría,"#1DeMayo #ActoPeña #IzquierdaAlFrente
Con la convicción de que los caminos de lucha hay que transitarlos en unidad construimos una alternativa para pararle la mano a Macri y proponernos para gobernar para lxs trabajadorxs y el pueblo. Ayer hicimos un gran acto unitario por un 1° de mayo obrero y socialista ¡Crece #IzquierdaAlFrente! ¡Viva el primero de mayo! ¡Viva la lucha internacional de los y las trabajadorxs!",2017-04-29T17:17:48+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1746999485327841/?type=3,253898394637965_1747004291994027,41,0,12,1747004291994027
253898394637965,Luciana Echevarría,En el Acto de Izquierda al Frente celebrando el 1 de mayo,2017-04-29T02:54:52+0000,video,https://www.facebook.com/253898394637965/videos/1745843672110089/,253898394637965_1745843672110089,54,4,26,1745843672110089
253898394637965,Luciana Echevarría,"#1DeMayo #ActoPeña del Mst Córdoba en #IzquierdaAlFrente

Somos cada vez más quienes rechazamos el plan de ajuste y represión de estos gobiernos que sólo benefician a los poderosos. Por eso conformamos Izquierda al Frente, una alternativa para canalizar el descontento y construir algo nuevo. Esta noche realizamos un gran acto unitario para dar a conocer nuestras propuestas y conmemorar el día de las y los trabajadorxs.",2017-04-28T14:14:27+0000,event,https://www.facebook.com/events/289792548137123/,253898394637965_1744911132203343,32,0,0,1744911132203343
253898394637965,Luciana Echevarría,"Violencia es no pagar los sueldos de trabajadorxs y jubiladxs hace un mes y ofrecer un 3% de aumento para todo el año! 
En Santa Cruz las dos caras del ajuste quieren imponerse a fuerza de represión y palos. Todo el apoyo a los trabajadorxs! #BastaDeReprimir #NoAlAjuste",2017-04-22T17:17:40+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1737025992991857/?type=3,253898394637965_1737027846325005,29,5,50,1737027846325005
253898394637965,Luciana Echevarría,"#BuenaNoticia 
La Nueva Mañana sale a la calle en papel. La versión impresa sale el 2 de Mayo y luego los Lunes de Junio. ¡Gran triunfo de los trabajadores y trabajadoras! Reproduzco su comunicado: 

""La Cooperativa de Trabajo integrada por ex empleados de LA MAÑANA DE CÓRDOBA cerrado en junio de 2016, presentarán el Martes 2 de Mayo, el primer número de LA NUEVA MAÑANA en papel, un semanario gráfico de información y análisis que estará presente en todos los kioscos de Córdoba.
Este semanario complementará la oferta periodística que brindamos desde el 26 de septiembre en la web www.lmdiario.com.ar
De este modo los trabajadores que pertenecieron al desaparecido diario LA MAÑANA DE CÓRDOBA renovamos nuestro compromiso con la comunidad de Córdoba para brindarles una expresión plural de la información con todo el análisis y profundidad.
La Nueva Mañana estará presente en los kioscos de Córdoba el Martes 2 de mayo, y luego a partir de junio, todos los lunes, aportando una nueva visión de la realidad cordobesa.""",2017-04-21T16:37:02+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1735680703126386/?type=3,253898394637965_1735680703126386,37,0,9,1735680703126386
253898394637965,Luciana Echevarría,"La justicia patriarcal es una vez más cómplice de los violentos y machistas. Con Higui presa, los violadores libres y Mica muerta no hay #NiUnaMenos! El lunes todas a las calles para exigir la destitución de Carlos Rossi, juez misógino que dejó libre al asesino. #JusticiaParaMica #VivasNosQueremos",2017-04-08T16:27:23+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1718304891530634/?type=3,253898394637965_1718304891530634,82,1,77,1718304891530634
253898394637965,Luciana Echevarría,¡Enorme felicidad! Con lucha y organización logramos la libertad de nuestra compañera Nancy Albornoz. Vamos a seguir la pelea hasta derrotar el ajuste. No nos amedrentan los palos de Macri y Bullrich. ¡Arriba lxs que luchan!,2017-04-07T19:07:35+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1717044661656657/?type=3,253898394637965_1717044661656657,45,0,24,1717044661656657
253898394637965,Luciana Echevarría,"Indignantes imágenes! Macri responde con palos al reclamos de lxs trabajadorxs. Quebraron a una compañera, golpearon y se llevaron presos a varios, hirieron a nuestro referente Alejandro Bodart. Pero no pueden doblegar nuestra fuerza. Vamos a seguir en la calle hasta derrotar el ajuste! #ParoNacionalActivo",2017-04-06T20:07:21+0000,link,https://www.youtube.com/watch?v=FYQKDSG5dEs,253898394637965_1715707261790397,40,0,39,1715707261790397
253898394637965,Luciana Echevarría,En contra de lo que quiere el gobierno y la CGT en Córdoba y el resto del país el MST y la Izquierda al Frente hacemos activo el paro y exigimos la continuidad hasta derrotar el ajuste. #parogeneral,2017-04-06T11:30:39+0000,video,https://www.facebook.com/253898394637965/videos/1715109665183490/,253898394637965_1715109665183490,79,5,30,1715109665183490
253898394637965,Luciana Echevarría,"Mañana #YoParo
Para frenarle la mano a Macri. Para seguir exigiendo salario digno para lxs docentes y todxs lxs trabajadorxs. Para que no haya más despidos. 
Los ricos tienen su gobierno, lxs trabajadorxs nuestras herramientas: paramos y nos organizamos para darle continuidad al plan de lucha.
A las 7hs en el puente Maipú. Sumate a luchar contra el ajuste de Macri y Schiaretti",2017-04-05T20:02:13+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1714204985273958/?type=3,253898394637965_1714204985273958,73,2,58,1714204985273958
253898394637965,Luciana Echevarría,"Nos denigran, nos descuentan, nos insultan. El gobierno nos quiere de rodillas. Lxs docentes estamos de pie! Seguimos luchando por la educación pública. Hoy más que nunca Carlos Fuentealba PRESENTE! #FuerzaDocentes",2017-04-04T22:36:01+0000,photo,https://www.facebook.com/253898394637965/photos/a.254118671282604.75858.253898394637965/1713006295393827/?type=3,253898394637965_1713006295393827,52,1,15,1713006295393827
